Province,ob_mean,ob_q2.5,ob_q50,ob_q97.5,sb_mean,sb_q2.5,sb_q50,sb_q97.5
ALAJUELA,0.14095994055518127,0.13957008449120686,0.1409699455077385,0.14235906363459105,0.19873183415862292,0.19713601618932622,0.19874382217227465,0.20029026934224953
CARTAGO,0.14648320292896486,0.14509584355308117,0.14648482421186576,0.14788670537944526,0.20347121605448554,0.20194332422645941,0.2034709711575249,0.20496678772169238
GUANACASTE,0.13749390230383063,0.1359367298195568,0.1374992964221536,0.13906993805790124,0.1900020289285287,0.188150215503483,0.1899899409792269,0.19185397191358217
HEREDIA,0.14832190414213267,0.14670762056728884,0.14832379165276527,0.14995007554177037,0.20699487554621973,0.2052975603225996,0.2069976964158058,0.20868604516886388
LIMON,0.12645151430643808,0.12465324534703082,0.12645822396550505,0.12826983342304846,0.1839444895360332,0.18186577909200555,0.18394175969756005,0.18604345625464624
PUNTARENAS,0.12810409502070966,0.1266816530284697,0.1281070216686541,0.12951965950749308,0.1913487948495541,0.1896406702828038,0.19135203738439988,0.1930534152200824
SAN JOSE,0.14892004999822944,0.1475324132096172,0.14892166797141998,0.15029608082504559,0.2037863632618491,0.20218186681316816,0.20380245580549258,0.20535242628188827
PAIS,0.14142811086399226,0.14025121718164685,0.14143174561374766,0.14257798813899986,0.19847081636266722,0.19707851838815535,0.19847674499328877,0.19977899096453686
