Canton,ob_mean,ob_q2.5,ob_q50,ob_q97.5,sb_mean,sb_q2.5,sb_q50,sb_q97.5
MONTES DE ORO,0.14515765421265384,0.14350255947747403,0.14516758420684817,0.14681032964720261,0.20547142868168589,0.20371961854078877,0.2054695204205661,0.20723830819597644
MORA,0.1478916854176337,0.14644057828012716,0.1478913628343435,0.1493141350825157,0.1975712176529994,0.19487470097476878,0.19755465032905822,0.20033027375018775
MORAVIA,0.1584245809109709,0.15616685672572747,0.15842217223864932,0.1607297792733433,0.21311476848123861,0.21097198318770605,0.21311085929109114,0.2152023006761539
NANDAYURE,0.14110048681748621,0.1378836071648843,0.14108721438620067,0.14447457302146863,0.1822725970458659,0.178401071603798,0.18225293968325723,0.18626612553555813
NARANJO,0.14555236911228522,0.14357266876063368,0.14555372091067914,0.14757005117650807,0.20245586271991312,0.2005688967790037,0.20247714234171627,0.20429973118969166
NICOYA,0.13886850095616085,0.13706534973537157,0.13887742394614822,0.14066908985973178,0.19343169181760772,0.19116902724448462,0.19342352348496417,0.1956826928902004
OREAMUNO,0.1428426678191382,0.14123510665231148,0.14285537024823358,0.14446657392827353,0.20583637296975965,0.20377192164104796,0.20584638086016094,0.20791136769428292
OROTINA,0.1384679622602255,0.13700386301652187,0.1384838438516092,0.13995249414307478,0.19699013501512352,0.1951237546991131,0.19700432425804604,0.19881847408840048
OSA,0.12322893011141034,0.12095203831270958,0.12321978046230686,0.12552842296750438,0.18916828232782018,0.18646408991887295,0.18915407291770903,0.19188746939334075
PALMARES,0.15173890290742947,0.15002410709195727,0.1517411486497367,0.15343497261229752,0.20602905131706842,0.2043460679526945,0.2060334281557754,0.20768099948124008
PARAISO,0.14649130520927062,0.1445406349062602,0.1464872188409157,0.14846714364057237,0.1992064378273919,0.1977423338389915,0.19921255857609427,0.20061953944410324
PARRITA,0.13310571547474273,0.13122362744419908,0.13309341162897392,0.13503512279200267,0.19313799619282906,0.19133988369137114,0.1931334348478622,0.19488460279221928
PEREZ ZELEDON,0.13395463883480033,0.1327281826255419,0.13395865374685506,0.13519613597937555,0.19146664282041304,0.18984186897042937,0.19146656580532206,0.1930633529023334
